Date,Time,Observations,Precipitation
01/16/2024,12:14 AM,Light Rain,0.01 in
01/16/2024,12:22 AM,Light Rain,0.01 in
01/16/2024,4:54 AM,Light Rain,0.00 in
01/16/2024,5:11 AM,"Heavy Rain, Mist",0.03 in
01/16/2024,5:14 AM,"Heavy Rain, Mist",0.09 in
01/16/2024,5:25 AM,"Heavy Rain, Mist",0.32 in
01/16/2024,5:31 AM,"Heavy Rain, Mist",0.40 in
01/16/2024,5:41 AM,"Rain, Mist",0.71 in
01/16/2024,5:54 AM,"Heavy Rain, Mist",0.80 in
01/16/2024,6:54 AM,"Rain, Mist",0.29 in
01/16/2024,7:08 AM,"Heavy Rain, Mist",0.03 in
01/16/2024,7:29 AM,"Light Rain, Mist",0.10 in
01/16/2024,8:54 AM,Light Rain,0.00 in
01/16/2024,9:54 AM,Light Rain,0.00 in
01/16/2024,2:54 PM,Light Rain,0.00 in
01/16/2024,3:07 PM,"Light Rain, Mist",0.00 in
01/16/2024,3:54 PM,"Light Rain, Mist",0.03 in
01/16/2024,4:54 PM,"Light Rain, Mist",0.05 in
01/16/2024,5:31 PM,Mist,0.01 in
01/16/2024,5:54 PM,"Light Rain, Mist",0.01 in
01/16/2024,6:07 PM,"Light Rain, Mist",0.00 in
01/16/2024,6:54 PM,"Heavy Rain, Mist",0.05 in
01/16/2024,7:54 PM,"Light Rain, Mist",0.08 in
01/16/2024,8:54 PM,"Rain, Mist",0.07 in
01/16/2024,9:54 PM,"Rain, Mist",0.13 in
01/16/2024,10:54 PM,"Rain, Mist",0.24 in
01/16/2024,11:54 PM,"Rain, Mist",0.02 in
01/17/2024,12:01 AM,Light Rain,0.01 in
01/17/2024,12:25 AM,Light Rain,0.01 in
01/17/2024,12:47 AM,Light Rain,0.01 in
01/17/2024,2:41 AM,"Heavy Rain, Mist",0.05 in
01/17/2024,2:54 AM,"Heavy Rain, Mist",0.16 in
01/17/2024,4:54 AM,Light Rain,0.00 in
01/17/2024,8:54 AM,Light Rain,0.00 in
01/17/2024,9:54 AM,"Rain, Mist",0.01 in
